ph,tds,turbidity,orp,temperature,label,is_anomaly,is_spike
6.93,399.84,23.77,339.58,21.8,0,0,0
6.96,300.09,3.52,393.09,29.42,0,0,0
6.65,353.33,32.44,327.34,25.25,0,0,0
6.53,257.01,49.54,359.43,21.91,0,0,0
6.74,541.19,197.01,305.1,28.57,1,0,1
6.59,249.98,35.98,305.28,20.72,0,0,0
7.48,210.67,12.94,306.86,25.15,0,0,0
7.02,268.46,40.61,341.36,22.46,0,0,0
7.58,691.47,193.36,324.38,27.59,1,0,1
7.67,514.52,137.62,305.26,25.81,1,0,1
4.81,536.92,46.3,281.2,28.56,2,0,1
7.27,266.93,32.0,342.86,26.46,0,0,0
7.2,371.34,18.99,357.26,22.01,0,0,0
4.63,512.85,75.27,108.41,27.91,2,0,1
7.06,364.63,23.89,300.76,24.1,0,0,0
4.3,538.85,36.3,150.95,24.38,2,0,1
7.1,240.4,17.65,327.3,25.11,0,0,0
7.09,260.88,14.77,309.64,25.57,0,0,0
5.61,478.38,76.86,101.28,28.9,2,0,0
7.15,340.84,28.34,359.88,28.6,0,0,0
7.14,778.09,165.54,344.42,21.03,1,0,1
6.28,671.27,196.44,265.78,28.22,1,0,1
7.17,361.66,2.09,337.31,21.23,0,0,0
6.81,265.74,32.46,349.11,29.12,0,0,0
6.77,262.8,34.98,393.1,27.83,0,0,0
5.01,423.42,47.28,113.15,21.27,2,0,0
6.24,703.29,147.12,307.52,25.62,1,0,1
6.65,617.03,213.39,300.77,28.21,1,0,1
7.47,348.09,33.39,397.64,22.4,0,0,0
7.35,286.25,42.4,388.74,22.53,0,0,0
6.68,713.02,124.56,280.57,27.61,1,0,1
6.73,726.89,107.43,330.74,22.06,1,0,1
5.5,420.47,39.74,130.84,21.27,2,0,0
4.15,543.08,22.28,279.37,22.67,2,0,1
6.86,275.63,2.61,394.79,22.55,0,0,0
6.14,586.08,136.14,301.7,29.99,1,0,1
12.67,1905.2,965.39,161.19,45.06,0,1,1
4.06,413.4,66.85,136.61,21.22,2,0,0
6.89,257.34,21.64,359.6,27.09,0,0,0
5.22,472.5,20.16,134.58,27.49,2,0,0
1.94,1457.09,446.54,-20.94,33.32,0,1,1
6.96,290.58,36.75,314.5,26.08,0,0,0
6.08,622.7,261.15,337.52,27.28,1,0,1
6.81,214.07,49.25,359.95,28.94,0,0,0
6.25,526.22,216.28,311.67,28.14,1,0,1
6.84,204.73,17.78,389.06,23.28,0,0,0
7.65,657.68,148.86,253.09,29.46,1,0,1
6.8,377.61,27.15,320.51,25.34,0,0,0
7.29,673.79,197.7,281.81,26.92,1,0,1
7.15,380.29,38.34,367.23,26.61,0,0,0
6.03,1682.61,892.38,629.2,41.02,0,1,1
7.92,511.68,124.46,252.32,26.14,1,0,1
7.91,614.84,166.43,320.63,22.04,1,0,1
7.96,798.0,171.08,388.56,20.39,1,0,1
6.36,758.94,280.68,264.5,21.81,1,0,1
7.14,228.97,32.24,317.61,20.07,0,0,0
7.19,646.21,187.14,311.64,22.54,1,0,1
6.98,292.71,24.64,387.49,23.32,0,0,0
7.33,348.31,44.97,338.52,29.36,0,0,0
6.9,377.53,44.05,359.29,24.16,0,0,0
6.68,287.21,12.96,355.71,23.05,0,0,0
6.91,218.08,19.72,369.74,21.47,0,0,0
6.72,238.5,40.82,329.85,29.84,0,0,0
4.55,480.01,73.08,125.3,28.03,2,0,0
6.61,728.1,156.56,331.05,24.97,1,0,1
5.05,530.88,24.62,246.88,28.61,2,0,1
7.99,713.49,246.86,388.96,28.38,1,0,1
6.04,445.49,25.99,199.86,26.39,2,0,0
5.09,456.13,52.58,221.9,24.66,2,0,0
6.88,221.19,37.77,312.03,23.04,0,0,0
7.3,286.01,4.39,340.81,26.72,0,0,0
2.16,1089.9,633.41,-99.99,39.9,0,1,1
5.83,568.2,41.54,271.88,24.54,2,0,1
6.69,384.96,49.1,363.12,21.35,0,0,0
7.1,361.36,43.58,321.52,25.24,0,0,0
6.37,410.89,53.79,177.12,21.5,2,0,0
7.39,819.96,185.86,270.39,28.88,1,0,1
7.31,317.18,27.81,349.72,29.99,0,0,0
6.55,323.37,20.51,302.64,22.74,0,0,0
6.07,561.43,36.92,196.76,26.45,2,0,1
7.28,383.11,27.95,365.85,23.7,0,0,0
5.41,596.11,65.23,223.49,28.08,2,0,1
7.96,800.26,154.78,355.05,24.3,1,0,1
7.06,222.46,28.96,397.1,29.79,0,0,0
6.16,596.47,296.58,308.83,29.5,1,0,1
7.0,398.82,41.82,314.69,22.15,0,0,0
6.27,448.23,58.37,183.77,27.6,2,0,0
6.4,603.0,269.44,352.07,22.2,1,0,1
7.25,398.76,43.53,319.21,24.86,0,0,0
6.08,559.9,42.47,136.78,24.75,2,0,1
6.57,241.78,20.68,300.84,28.27,0,0,0
9.97,1294.43,590.4,662.03,29.83,0,1,1
6.55,270.92,18.44,307.73,29.49,0,0,0
7.34,716.43,194.5,360.06,21.5,1,0,1
7.01,304.03,20.65,334.04,25.39,0,0,0
6.79,772.66,102.67,319.19,26.74,1,0,1
7.39,320.29,38.88,345.68,26.62,0,0,0
9.62,1817.08,687.16,46.29,24.74,0,1,1
7.49,656.98,159.18,284.43,25.27,1,0,1
5.09,441.38,57.89,135.82,24.52,2,0,0
7.88,713.56,145.98,310.35,26.99,1,0,1
4.54,572.43,79.9,259.54,25.83,2,0,1
1.32,1609.25,678.37,-396.45,23.12,0,1,1
8.75,1459.06,652.78,-93.1,76.1,0,1,1
6.71,370.23,0.06,368.93,24.16,0,0,0
7.04,672.99,119.61,278.54,26.16,1,0,1
5.27,417.2,33.85,117.66,21.19,2,0,0
6.75,217.89,27.14,383.57,28.07,0,0,0
5.63,400.03,22.2,144.41,23.87,2,0,0
7.89,639.84,234.25,335.27,22.32,1,0,1
6.74,321.87,11.77,323.06,24.49,0,0,0
7.21,614.18,218.4,381.02,28.38,1,0,1
7.75,875.19,108.89,263.79,22.65,1,0,1
6.6,790.02,144.28,294.97,21.08,1,0,1
6.02,860.25,250.92,331.88,29.4,1,0,1
6.25,589.56,50.71,177.6,22.23,2,0,1
6.5,500.04,118.43,349.08,27.14,1,0,1
7.02,207.95,49.92,330.02,29.7,0,0,0
6.58,218.85,13.2,398.32,27.25,0,0,0
7.17,354.74,7.24,396.68,20.76,0,0,0
6.53,263.73,42.71,324.91,29.27,0,0,0
6.58,270.2,0.98,354.41,21.37,0,0,0
7.2,394.45,41.9,342.16,25.3,0,0,0
6.96,362.55,25.76,353.74,26.69,0,0,0
7.41,291.71,5.21,374.01,29.86,0,0,0
6.35,748.97,103.1,277.97,26.69,1,0,1
6.76,826.67,272.83,269.14,20.01,1,0,1
7.96,1218.15,992.65,261.36,67.01,0,1,1
6.43,604.53,140.79,395.8,25.75,1,0,1
6.0,681.39,204.23,295.89,25.6,1,0,1
7.62,891.12,273.7,321.58,20.03,1,0,1
4.38,480.78,38.29,110.58,23.16,2,0,0
7.2,202.26,4.23,349.46,23.74,0,0,0
6.85,260.15,17.58,304.61,20.63,0,0,0
6.21,880.55,139.5,372.66,27.67,1,0,1
7.11,784.17,276.84,269.97,23.62,1,0,1
7.21,242.87,48.34,314.79,21.87,0,0,0
7.02,373.6,9.71,389.19,22.23,0,0,0
6.83,291.98,31.65,358.44,23.88,0,0,0
6.83,285.91,40.48,351.78,21.42,0,0,0
7.61,776.8,289.02,287.3,26.54,1,0,1
6.63,786.3,116.85,319.3,24.52,1,0,1
7.22,394.01,30.7,373.89,28.75,0,0,0
7.5,643.29,191.23,364.63,21.74,1,0,1
7.37,781.5,277.32,277.76,23.64,1,0,1
5.63,587.15,29.86,108.25,28.55,2,0,1
6.2,473.79,48.98,298.03,20.2,2,0,0
6.83,365.38,10.63,379.97,22.93,0,0,0
0.44,1784.96,762.7,45.14,84.65,0,1,1
4.28,594.35,47.94,112.32,27.56,2,0,1
7.77,739.64,180.77,250.77,23.21,1,0,1
4.19,1615.21,972.32,-269.9,9.29,0,1,1
7.27,761.79,291.45,387.56,21.71,1,0,1
6.97,219.46,38.88,390.5,26.89,0,0,0
6.59,568.16,174.68,291.66,25.89,1,0,1
4.43,585.29,21.09,274.65,24.84,2,0,1
7.78,698.58,286.14,258.59,27.78,1,0,1
6.96,239.63,24.45,331.73,29.7,0,0,0
6.7,200.44,17.29,377.25,22.63,0,0,0
6.82,268.01,29.96,309.0,21.0,0,0,0
6.56,650.83,202.03,359.06,25.32,1,0,1
7.2,322.48,36.36,361.18,29.65,0,0,0
6.99,872.61,139.07,386.96,23.7,1,0,1
4.93,458.37,52.9,152.94,27.9,2,0,0
7.81,587.56,265.98,368.5,25.44,1,0,1
7.14,201.43,49.67,367.42,20.71,0,0,0
5.53,556.34,61.42,228.99,23.2,2,0,1
6.16,1150.6,762.16,-253.81,80.84,0,1,1
6.82,394.14,11.16,382.25,26.51,0,0,0
6.87,306.78,15.62,355.3,29.12,0,0,0
7.8,870.68,102.62,397.85,20.56,1,0,1
6.78,325.32,33.02,315.83,20.73,0,0,0
5.79,529.22,78.12,261.47,24.02,2,0,1
6.93,229.31,8.83,336.14,24.89,0,0,0
5.75,427.5,27.12,200.8,21.89,2,0,0
6.61,302.15,30.22,342.87,29.74,0,0,0
6.85,623.09,250.08,363.86,24.3,1,0,1
5.64,402.65,40.29,200.14,20.07,2,0,0
7.87,540.88,294.96,373.38,25.67,1,0,1
6.48,577.4,157.11,302.6,21.53,1,0,1
6.32,722.01,125.52,349.62,23.16,1,0,1
7.29,889.74,158.62,374.45,23.51,1,0,1
5.65,571.89,70.74,148.07,23.81,2,0,1
12.96,1744.87,698.79,170.31,76.59,0,1,1
7.0,220.29,10.18,302.09,22.27,0,0,0
7.77,899.42,102.08,347.83,22.19,1,0,1
7.57,544.32,272.91,258.11,25.75,1,0,1
6.33,589.55,57.02,118.24,25.17,2,0,1
6.77,254.68,30.35,306.19,29.07,0,0,0
5.32,530.64,63.82,159.12,29.16,2,0,1
6.86,376.69,19.29,374.76,25.78,0,0,0
9.92,1586.0,542.08,320.4,21.91,0,1,1
7.14,552.06,140.11,315.25,27.83,1,0,1
6.9,653.32,197.74,318.74,23.54,1,0,1
7.48,320.5,23.85,348.4,26.01,0,0,0
6.99,386.88,36.21,310.03,28.93,0,0,0
5.43,416.99,57.1,239.17,20.77,2,0,0
6.89,202.66,28.86,391.46,22.29,0,0,0
6.31,535.39,116.9,337.06,24.8,1,0,1
7.08,328.11,2.6,334.58,22.45,0,0,0
6.37,563.27,64.33,124.06,24.84,2,0,1
6.3,532.24,283.57,328.47,23.94,1,0,1
7.16,366.96,2.03,307.65,20.96,0,0,0
6.27,408.0,63.07,104.35,27.99,2,0,0
6.93,317.66,31.38,306.95,22.23,0,0,0
6.86,259.47,31.86,370.71,28.76,0,0,0
6.14,543.89,69.75,106.3,29.46,2,0,1
4.76,563.32,25.17,221.63,26.82,2,0,1
7.49,279.39,3.78,377.56,23.7,0,0,0
6.65,212.93,37.18,352.79,21.73,0,0,0
7.33,390.01,45.43,396.49,22.26,0,0,0
6.52,337.78,10.14,395.16,27.78,0,0,0
5.55,1491.74,877.75,517.72,3.41,0,1,1
7.31,745.59,220.94,299.17,28.96,1,0,1
7.46,222.49,28.34,309.83,26.28,0,0,0
7.32,242.15,13.14,324.18,20.71,0,0,0
7.3,366.13,13.25,382.43,26.27,0,0,0
7.47,283.33,37.69,358.93,21.98,0,0,0
5.22,493.93,65.68,242.1,28.04,2,0,0
5.36,514.58,22.25,172.58,21.14,2,0,1
7.84,729.51,160.64,358.83,29.04,1,0,1
7.04,221.5,49.8,343.97,23.51,0,0,0
7.43,302.67,7.87,328.1,26.46,0,0,0
7.45,222.32,15.85,393.74,24.43,0,0,0
4.35,550.38,65.46,194.16,23.08,2,0,1
7.02,208.16,31.51,327.57,21.17,0,0,0
0.66,1412.72,641.83,444.09,51.11,0,1,1
7.01,397.05,8.8,399.14,29.12,0,0,0
6.87,285.45,8.86,362.37,26.16,0,0,0
10.61,1567.81,461.56,33.37,44.82,0,1,1
7.41,319.2,13.8,396.56,25.41,0,0,0
6.82,315.03,40.68,342.26,22.34,0,0,0
5.65,414.17,58.85,215.75,23.01,2,0,0
6.59,783.76,235.2,385.67,29.2,1,0,1
6.99,216.03,27.79,394.19,28.52,0,0,0
1.07,1564.79,896.01,702.99,3.2,0,1,1
6.91,291.86,1.62,342.69,28.8,0,0,0
6.15,526.05,225.67,312.78,25.57,1,0,1
7.09,378.82,0.28,361.85,28.57,0,0,0
4.57,501.36,22.77,112.98,23.16,2,0,1
1.3,1047.58,779.67,837.79,44.9,0,1,1
7.89,1382.29,845.02,588.31,19.18,0,1,1
7.15,383.42,21.59,349.11,27.55,0,0,0
4.34,472.75,67.85,185.52,20.44,2,0,0
7.41,291.4,45.05,301.65,23.77,0,0,0
6.86,272.3,18.11,345.29,27.94,0,0,0
7.97,625.88,188.03,361.5,24.29,1,0,1
7.07,342.41,34.69,347.31,27.06,0,0,0
6.42,883.79,270.23,279.57,20.06,1,0,1
5.45,413.88,37.42,208.21,28.15,2,0,0
5.2,585.5,24.94,130.97,27.81,2,0,1
5.88,1198.69,609.0,-255.95,72.82,0,1,1
6.88,523.86,105.66,347.18,23.18,1,0,1
5.37,534.78,56.79,247.8,25.18,2,0,1
6.04,824.93,210.01,336.8,27.63,1,0,1
6.72,342.85,41.66,307.23,29.01,0,0,0
7.3,382.48,17.9,386.7,29.84,0,0,0
7.04,784.98,198.6,334.31,25.08,1,0,1
7.63,833.46,164.8,291.87,22.18,1,0,1
4.8,531.27,35.82,221.09,29.55,2,0,1
6.76,878.19,283.9,393.44,29.84,1,0,1
4.28,1417.45,652.85,-14.96,21.39,0,1,1
4.89,525.83,31.58,273.47,25.35,2,0,1
4.18,528.58,43.38,110.06,28.42,2,0,1
4.17,444.58,20.13,114.41,29.89,2,0,0
7.26,332.96,15.71,343.34,22.99,0,0,0
7.03,343.55,12.73,346.69,28.44,0,0,0
4.02,418.68,54.21,281.08,29.23,2,0,0
6.82,295.83,6.75,381.73,24.15,0,0,0
7.92,678.47,279.24,325.03,23.71,1,0,1
6.62,203.13,25.64,376.21,28.83,0,0,0
6.64,271.99,1.18,345.34,29.09,0,0,0
5.78,443.12,60.49,275.63,26.35,2,0,0
7.02,843.93,169.17,255.24,21.47,1,0,1
6.76,348.62,20.62,303.42,20.01,0,0,0
6.95,230.43,11.04,369.15,28.11,0,0,0
6.79,381.78,41.33,316.87,29.04,0,0,0
5.29,474.54,25.03,138.38,28.75,2,0,0
4.31,408.0,26.06,271.23,24.38,2,0,0
6.51,333.11,30.79,320.49,21.88,0,0,0
3.29,1853.63,835.47,-329.87,26.55,0,1,1
12.6,1227.51,762.28,228.1,30.8,0,1,1
7.38,283.33,15.19,372.43,23.86,0,0,0
4.8,462.39,40.21,163.88,27.37,2,0,0
7.94,865.68,222.88,310.46,27.34,1,0,1
6.09,483.66,47.56,119.88,28.1,2,0,0
6.71,842.26,142.41,333.69,22.68,1,0,1
4.15,467.38,62.09,195.31,28.72,2,0,0
9.41,1500.63,653.72,-362.59,35.59,0,1,1
5.62,1175.25,406.2,-349.89,55.57,0,1,1
7.47,230.6,41.82,361.07,21.59,0,0,0
2.07,1601.45,692.65,583.91,10.13,0,1,1
5.5,540.46,44.09,271.48,21.6,2,0,1
6.85,337.23,49.43,318.56,23.81,0,0,0
6.95,680.21,182.22,277.2,26.91,1,0,1
7.42,340.69,48.05,362.32,20.42,0,0,0
4.73,574.4,41.12,260.01,26.53,2,0,1
6.33,862.54,160.12,317.24,27.33,1,0,1
6.95,352.14,5.9,312.1,20.59,0,0,0
7.15,248.67,10.03,382.1,21.05,0,0,0
6.44,880.9,124.65,263.79,21.96,1,0,1
5.25,411.33,26.87,120.42,20.65,2,0,0
7.4,333.47,44.23,340.48,28.09,0,0,0
7.21,532.1,281.0,319.04,28.23,1,0,1
7.97,719.04,280.41,251.63,27.41,1,0,1
7.12,326.25,36.83,318.52,20.85,0,0,0
7.07,332.15,13.02,383.49,28.37,0,0,0
4.39,430.86,72.5,277.99,23.08,2,0,0
5.16,467.45,21.99,187.61,27.76,2,0,0
6.85,257.26,26.17,307.91,28.68,0,0,0
6.75,369.4,48.35,337.79,26.38,0,0,0
7.26,595.7,165.06,343.6,22.77,1,0,1
5.24,413.26,30.1,136.4,23.46,2,0,0
6.82,732.34,192.73,296.74,29.06,1,0,1
6.5,244.28,18.18,362.98,20.56,0,0,0
7.31,398.06,39.74,318.41,25.34,0,0,0
6.36,443.85,38.44,231.29,29.87,2,0,0
7.09,398.57,33.61,319.88,21.39,0,0,0
5.21,532.57,23.8,130.37,20.05,2,0,1
6.51,500.05,130.32,383.15,25.7,1,0,1
5.12,452.0,42.72,217.48,20.88,2,0,0
7.3,244.34,35.33,394.12,28.54,0,0,0
6.06,611.95,206.14,341.68,21.18,1,0,1
6.31,565.66,77.97,140.36,26.34,2,0,1
4.59,1342.42,707.3,645.24,89.78,0,1,1
6.73,638.25,256.78,392.85,21.17,1,0,1
7.11,225.34,39.6,377.77,26.48,0,0,0
6.98,586.57,173.7,281.3,21.91,1,0,1
13.75,1516.59,596.86,-191.53,88.82,0,1,1
6.79,267.0,45.21,391.23,26.63,0,0,0
5.97,458.04,37.53,110.34,24.93,2,0,0
7.11,572.36,241.86,292.88,25.98,1,0,1
6.28,512.02,44.8,196.02,25.86,2,0,1
6.19,473.05,24.85,182.93,23.42,2,0,0
5.77,1508.92,843.83,-317.42,81.68,0,1,1
7.14,308.22,20.13,387.14,28.12,0,0,0
5.06,594.06,60.43,115.8,27.83,2,0,1
6.64,653.17,244.83,344.52,26.26,1,0,1
7.38,212.92,4.21,318.87,24.42,0,0,0
4.39,481.49,25.83,244.99,25.05,2,0,0
7.14,337.85,26.01,347.19,23.81,0,0,0
5.58,519.43,50.64,107.49,20.74,2,0,1
5.51,419.88,76.77,233.05,24.64,2,0,0
6.51,372.5,16.08,337.22,21.55,0,0,0
